"group","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"bulk",5,"50-100","Water","break_sustained",87,0.87,4.86
"bulk",5,"50-100","Water","stable_flicker",689,6.89,38.51
"bulk",5,"50-100","Water","unsettled",753,7.53,42.09
"bulk",6,"100-200","Bare Ground","break_endpoint",2577,25.77,64.46
"bulk",6,"100-200","Bare Ground","break_sustained",10,0.1,0.25
"bulk",6,"100-200","Bare Ground","stable_flicker",6,0.06,0.15
"bulk",6,"100-200","Bare Ground","unsettled",1405,14.05,35.14
"bulk",6,"100-200","Built Area","break_endpoint",87,0.87,1.36
"bulk",6,"100-200","Built Area","break_sustained",51,0.51,0.8
"bulk",6,"100-200","Built Area","stable",4060,40.6,63.45
"bulk",6,"100-200","Built Area","stable_flicker",1724,17.24,26.94
"bulk",6,"100-200","Built Area","unsettled",477,4.77,7.45
"bulk",6,"100-200","Clouds","unsettled",2,0.02,100
"bulk",6,"100-200","Crops","break_endpoint",839,8.39,9.66
"bulk",6,"100-200","Crops","break_sustained",2920,29.2,33.61
"bulk",6,"100-200","Crops","stable",1461,14.61,16.82
"bulk",6,"100-200","Crops","stable_flicker",1964,19.64,22.61
"bulk",6,"100-200","Crops","unsettled",1503,15.03,17.3
"bulk",6,"100-200","Flooded Vegetation","break_endpoint",41,0.41,5.67
"bulk",6,"100-200","Flooded Vegetation","stable",5,0.05,0.69
"bulk",6,"100-200","Flooded Vegetation","stable_flicker",266,2.66,36.79
"bulk",6,"100-200","Flooded Vegetation","unsettled",411,4.11,56.85
"bulk",6,"100-200","Rangeland","break_endpoint",4022,40.22,8.32
"bulk",6,"100-200","Rangeland","break_sustained",1249,12.49,2.58
"bulk",6,"100-200","Rangeland","stable",28477,284.77,58.89
"bulk",6,"100-200","Rangeland","stable_flicker",10148,101.48,20.98
"bulk",6,"100-200","Rangeland","unsettled",4464,44.64,9.23
"bulk",6,"100-200","Snow/Ice","break_endpoint",20,0.2,3.17
"bulk",6,"100-200","Snow/Ice","unsettled",610,6.1,96.83
"bulk",6,"100-200","Trees","break_endpoint",4117,41.17,2.58
"bulk",6,"100-200","Trees","break_sustained",1803,18.03,1.13
"bulk",6,"100-200","Trees","stable",137758,1377.58,86.21
"bulk",6,"100-200","Trees","stable_flicker",9991,99.91,6.25
"bulk",6,"100-200","Trees","unsettled",6119,61.19,3.83
"bulk",6,"100-200","Water","break_endpoint",149,1.49,15.04
"bulk",6,"100-200","Water","break_sustained",43,0.43,4.34
"bulk",6,"100-200","Water","stable_flicker",343,3.43,34.61
"bulk",6,"100-200","Water","unsettled",456,4.56,46.01
"bulk",7,"200-500","Bare Ground","break_endpoint",2779,27.79,58.25
"bulk",7,"200-500","Bare Ground","break_sustained",29,0.29,0.61
