"from_class","to_class","status","break_year","n_cells","area","pct"
"Built Area","Bare Ground","break",2023,86,0.86,0
"Rangeland","Built Area","break",2019,86,0.86,0
"Water","Trees","break",2020,85,0.85,0
"Flooded Vegetation","Rangeland","break",2019,82,0.82,0
"Bare Ground","Water","break",2019,79,0.79,0
"Water","Trees","break",2019,74,0.74,0
"Built Area","Rangeland","break",2018,73,0.73,0
"Water","Built Area","break",2018,71,0.71,0
"Trees","Flooded Vegetation","break",2019,69,0.69,0
"Clouds","Water","flicker",NA,67,0.67,0
"Clouds","Built Area","break",2018,64,0.64,0
"Built Area","Crops","break",2019,62,0.62,0
"Clouds","Trees","flicker",NA,57,0.57,0
"Crops","Water","break",2023,55,0.55,0
"Built Area","Rangeland","break",2021,55,0.55,0
"Bare Ground","Rangeland","break",2020,54,0.54,0
"Trees","Crops","break",2019,53,0.53,0
"Crops","Trees","break",2022,53,0.53,0
"Clouds","Built Area","flicker",NA,50,0.5,0
"Rangeland","Water","break",2020,50,0.5,0
"Bare Ground","Rangeland","break",2019,48,0.48,0
"Built Area","Bare Ground","flicker",NA,46,0.46,0
"Trees","Flooded Vegetation","break",2023,44,0.44,0
"Trees","Flooded Vegetation","break",2018,43,0.43,0
"Built Area","Water","break",2018,43,0.43,0
"Rangeland","Bare Ground","break",2022,43,0.43,0
"Water","Built Area","break",2021,40,0.4,0
"Crops","Trees","break",2021,40,0.4,0
"Built Area","Crops","break",2018,40,0.4,0
"Flooded Vegetation","Crops","flicker",NA,39,0.39,0
"Crops","Trees","break",2020,39,0.39,0
"Built Area","Water","break",2022,38,0.38,0
"Trees","Crops","break",2020,33,0.33,0
"Flooded Vegetation","Water","break",2018,33,0.33,0
"Built Area","Trees","break",2019,33,0.33,0
"Built Area","Crops","break",2022,32,0.32,0
"Bare Ground","Rangeland","break",2023,32,0.32,0
"Trees","Flooded Vegetation","break",2020,31,0.31,0
"Clouds","Water","break",2018,31,0.31,0
"Flooded Vegetation","Trees","break",2023,29,0.29,0
"Flooded Vegetation","Rangeland","break",2023,29,0.29,0
"Water","Flooded Vegetation","break",2023,28,0.28,0
"Water","Bare Ground","break",2021,28,0.28,0
"Crops","Built Area","break",2020,28,0.28,0
"Snow/Ice","Bare Ground","flicker",NA,28,0.28,0
"Flooded Vegetation","Built Area","flicker",NA,25,0.25,0
"Bare Ground","Water","break",2020,25,0.25,0
"Crops","Water","break",2019,20,0.2,0
"Bare Ground","Water","break",2023,20,0.2,0
"Built Area","Trees","break",2022,19,0.19,0
"Built Area","Rangeland","break",2020,19,0.19,0
"Snow/Ice","Crops","break",2018,19,0.19,0
"Crops","Water","break",2018,18,0.18,0
"Built Area","Trees","break",2021,18,0.18,0
"Rangeland","Bare Ground","break",2019,16,0.16,0
"Crops","Trees","break",2019,15,0.15,0
"Rangeland","Flooded Vegetation","break",2022,15,0.15,0
"Built Area","Rangeland","break",2022,14,0.14,0
"Bare Ground","Water","break",2022,13,0.13,0
"Water","Snow/Ice","flicker",NA,11,0.11,0
"Water","Crops","break",2022,10,0.1,0
"Built Area","Trees","break",2018,10,0.1,0
"Flooded Vegetation","Trees","break",2022,7,0.07,0
"Built Area","Trees","break",2020,7,0.07,0
"Trees","Bare Ground","break",2022,6,0.06,0
"Rangeland","Bare Ground","break",2020,6,0.06,0
"Rangeland","Bare Ground","break",2021,6,0.06,0
"Trees","Snow/Ice","flicker",NA,5,0.05,0
"Built Area","Water","break",2019,5,0.05,0
"Built Area","Water","break",2021,5,0.05,0
"Built Area","Crops","break",2020,5,0.05,0
"Clouds","Trees","break",2018,5,0.05,0
"Crops","Water","break",2021,4,0.04,0
"Snow/Ice","Snow/Ice","flicker",NA,4,0.04,0
"Rangeland","Flooded Vegetation","break",2021,4,0.04,0
"Water","Flooded Vegetation","break",2019,3,0.03,0
"Water","Flooded Vegetation","break",2020,3,0.03,0
"Water","Flooded Vegetation","break",2022,3,0.03,0
"Water","Crops","break",2021,3,0.03,0
"Flooded Vegetation","Snow/Ice","flicker",NA,3,0.03,0
"Clouds","Bare Ground","flicker",NA,3,0.03,0
"Clouds","Rangeland","flicker",NA,3,0.03,0
"Rangeland","Snow/Ice","flicker",NA,3,0.03,0
"Water","Crops","break",2018,2,0.02,0
"Trees","Flooded Vegetation","break",2022,2,0.02,0
"Flooded Vegetation","Rangeland","break",2022,2,0.02,0
"Built Area","Crops","break",2021,2,0.02,0
"Bare Ground","Built Area","break",2021,2,0.02,0
"Bare Ground","Rangeland","break",2021,2,0.02,0
"Rangeland","Bare Ground","break",2018,2,0.02,0
"Water","Flooded Vegetation","break",2018,1,0.01,0
"Water","Built Area","break",2019,1,0.01,0
"Flooded Vegetation","Built Area","break",2018,1,0.01,0
"Crops","Water","break",2022,1,0.01,0
"Bare Ground","Snow/Ice","flicker",NA,1,0.01,0
