"from_class","to_class","status","break_year","n_cells","area","pct"
"Trees","Crops","break",2020,4,0.04,0
"Water","Crops","break",2018,3,0.03,0
"Trees","Snow/Ice","break",2018,3,0.03,0
"Trees","Snow/Ice","break",2019,3,0.03,0
"Built Area","Flooded Vegetation","flicker",NA,3,0.03,0
"Built Area","Bare Ground","break",2020,3,0.03,0
"Bare Ground","Built Area","break",2022,3,0.03,0
"Bare Ground","Snow/Ice","flicker",NA,3,0.03,0
"Snow/Ice","Bare Ground","break",2023,3,0.03,0
"Water","Snow/Ice","flicker",NA,2,0.02,0
"Flooded Vegetation","Built Area","break",2019,2,0.02,0
"Built Area","Bare Ground","break",2021,2,0.02,0
"Snow/Ice","Snow/Ice","flicker",NA,2,0.02,0
"Water","Snow/Ice","break",2023,1,0.01,0
"Trees","Flooded Vegetation","break",2021,1,0.01,0
"Flooded Vegetation","Built Area","break",2023,1,0.01,0
"Crops","Flooded Vegetation","break",2020,1,0.01,0
"Built Area","Bare Ground","break",2022,1,0.01,0
"Bare Ground","Crops","break",2018,1,0.01,0
"Bare Ground","Snow/Ice","break",2023,1,0.01,0
"Snow/Ice","Water","flicker",NA,1,0.01,0
"Snow/Ice","Bare Ground","break",2019,1,0.01,0
"Snow/Ice","Bare Ground","break",2021,1,0.01,0
"Snow/Ice","Bare Ground","flicker",NA,1,0.01,0
