"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"kotl","water_core",5,"50-100","Flooded Vegetation","stable",1089,10.89,12.77
"kotl","water_core",5,"50-100","Flooded Vegetation","stable_flicker",2269,22.69,26.62
"kotl","water_core",5,"50-100","Flooded Vegetation","unsettled",2878,28.78,33.76
"kotl","water_core",5,"50-100","Rangeland","break_endpoint",2771,27.71,8.53
"kotl","water_core",5,"50-100","Rangeland","break_sustained",1927,19.27,5.93
"kotl","water_core",5,"50-100","Rangeland","stable",18715,187.15,57.63
"kotl","water_core",5,"50-100","Rangeland","stable_flicker",5294,52.94,16.3
"kotl","water_core",5,"50-100","Rangeland","unsettled",3769,37.69,11.61
"kotl","water_core",5,"50-100","Snow/Ice","break_endpoint",3,0.03,33.33
"kotl","water_core",5,"50-100","Snow/Ice","break_sustained",1,0.01,11.11
"kotl","water_core",5,"50-100","Snow/Ice","stable",3,0.03,33.33
"kotl","water_core",5,"50-100","Snow/Ice","stable_flicker",1,0.01,11.11
"kotl","water_core",5,"50-100","Snow/Ice","unsettled",1,0.01,11.11
"kotl","water_core",5,"50-100","Trees","break_endpoint",1640,16.4,2.79
"kotl","water_core",5,"50-100","Trees","break_sustained",806,8.06,1.37
"kotl","water_core",5,"50-100","Trees","stable",47555,475.55,80.95
"kotl","water_core",5,"50-100","Trees","stable_flicker",5844,58.44,9.95
"kotl","water_core",5,"50-100","Trees","unsettled",2903,29.03,4.94
"kotl","water_core",5,"50-100","Water","break_endpoint",614,6.14,9.57
"kotl","water_core",5,"50-100","Water","break_sustained",1628,16.28,25.39
"kotl","water_core",5,"50-100","Water","stable_flicker",2503,25.03,39.03
"kotl","water_core",5,"50-100","Water","unsettled",1668,16.68,26.01
"kotl","water_core",6,"100-200","Bare Ground","break_endpoint",808,8.08,42.15
"kotl","water_core",6,"100-200","Bare Ground","break_sustained",168,1.68,8.76
"kotl","water_core",6,"100-200","Bare Ground","stable",406,4.06,21.18
"kotl","water_core",6,"100-200","Bare Ground","stable_flicker",6,0.06,0.31
"kotl","water_core",6,"100-200","Bare Ground","unsettled",529,5.29,27.6
"kotl","water_core",6,"100-200","Built Area","break_endpoint",327,3.27,1.69
"kotl","water_core",6,"100-200","Built Area","break_sustained",234,2.34,1.21
"kotl","water_core",6,"100-200","Built Area","stable",16950,169.5,87.84
"kotl","water_core",6,"100-200","Built Area","stable_flicker",1454,14.54,7.54
"kotl","water_core",6,"100-200","Built Area","unsettled",331,3.31,1.72
"kotl","water_core",6,"100-200","Crops","break_endpoint",1953,19.53,3.51
"kotl","water_core",6,"100-200","Crops","break_sustained",1069,10.69,1.92
"kotl","water_core",6,"100-200","Crops","stable",41851,418.51,75.2
"kotl","water_core",6,"100-200","Crops","stable_flicker",8029,80.29,14.43
"kotl","water_core",6,"100-200","Crops","unsettled",2750,27.5,4.94
"kotl","water_core",6,"100-200","Flooded Vegetation","break_endpoint",2866,28.66,14.74
"kotl","water_core",6,"100-200","Flooded Vegetation","break_sustained",3815,38.15,19.62
"kotl","water_core",6,"100-200","Flooded Vegetation","stable",4013,40.13,20.64
