"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"bulk","edge_nonwater",8,">500",500,Inf,"unsettled",4908,49.08,954964,0.51
"necr","water_core",1,"core",0,0,"stable",1059042,10590.42,1059042,100
"necr","water_core",2,"0-10",0,10,"break_endpoint",10917,109.17,45799,23.84
"necr","water_core",2,"0-10",0,10,"break_sustained",5511,55.11,45799,12.03
"necr","water_core",2,"0-10",0,10,"stable",2115,21.15,45799,4.62
"necr","water_core",2,"0-10",0,10,"stable_flicker",15511,155.11,45799,33.87
"necr","water_core",2,"0-10",0,10,"unsettled",11745,117.45,45799,25.64
"necr","water_core",3,"10-30",10,30,"break_endpoint",6149,61.49,76312,8.06
"necr","water_core",3,"10-30",10,30,"break_sustained",3111,31.11,76312,4.08
"necr","water_core",3,"10-30",10,30,"stable",39029,390.29,76312,51.14
"necr","water_core",3,"10-30",10,30,"stable_flicker",15498,154.98,76312,20.31
"necr","water_core",3,"10-30",10,30,"unsettled",12525,125.25,76312,16.41
"necr","water_core",4,"30-50",30,50,"break_endpoint",2704,27.04,60042,4.5
"necr","water_core",4,"30-50",30,50,"break_sustained",1886,18.86,60042,3.14
"necr","water_core",4,"30-50",30,50,"stable",40245,402.45,60042,67.03
"necr","water_core",4,"30-50",30,50,"stable_flicker",8783,87.83,60042,14.63
"necr","water_core",4,"30-50",30,50,"unsettled",6424,64.24,60042,10.7
"necr","water_core",5,"50-100",50,100,"break_endpoint",4339,43.39,107408,4.04
"necr","water_core",5,"50-100",50,100,"break_sustained",4115,41.15,107408,3.83
"necr","water_core",5,"50-100",50,100,"stable",72927,729.27,107408,67.9
"necr","water_core",5,"50-100",50,100,"stable_flicker",15892,158.92,107408,14.8
"necr","water_core",5,"50-100",50,100,"unsettled",10135,101.35,107408,9.44
"necr","water_core",6,"100-200",100,200,"break_endpoint",6175,61.75,154050,4.01
"necr","water_core",6,"100-200",100,200,"break_sustained",8427,84.27,154050,5.47
"necr","water_core",6,"100-200",100,200,"stable",105752,1057.52,154050,68.65
"necr","water_core",6,"100-200",100,200,"stable_flicker",21364,213.64,154050,13.87
"necr","water_core",6,"100-200",100,200,"unsettled",12332,123.32,154050,8.01
"necr","water_core",7,"200-500",200,500,"break_endpoint",12123,121.23,284220,4.27
"necr","water_core",7,"200-500",200,500,"break_sustained",17158,171.58,284220,6.04
"necr","water_core",7,"200-500",200,500,"stable",197238,1972.38,284220,69.4
"necr","water_core",7,"200-500",200,500,"stable_flicker",38048,380.48,284220,13.39
"necr","water_core",7,"200-500",200,500,"unsettled",19653,196.53,284220,6.91
"necr","water_core",8,">500",500,Inf,"break_endpoint",127489,1274.89,2396941,5.32
"necr","water_core",8,">500",500,Inf,"break_sustained",138775,1387.75,2396941,5.79
"necr","water_core",8,">500",500,Inf,"stable",1706690,17066.9,2396941,71.2
"necr","water_core",8,">500",500,Inf,"stable_flicker",267735,2677.35,2396941,11.17
"necr","water_core",8,">500",500,Inf,"unsettled",156252,1562.52,2396941,6.52
"necr","water_2017",1,"core",0,0,"break_endpoint",6146,61.46,1094266,0.56
"necr","water_2017",1,"core",0,0,"break_sustained",5546,55.46,1094266,0.51
"necr","water_2017",1,"core",0,0,"stable",1059042,10590.42,1094266,96.78
"necr","water_2017",1,"core",0,0,"stable_flicker",16236,162.36,1094266,1.48
"necr","water_2017",1,"core",0,0,"unsettled",7296,72.96,1094266,0.67
"necr","water_2017",2,"0-10",0,10,"break_endpoint",7118,71.18,44145,16.12
"necr","water_2017",2,"0-10",0,10,"break_sustained",2485,24.85,44145,5.63
"necr","water_2017",2,"0-10",0,10,"stable",9439,94.39,44145,21.38
