"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"bulk","water_core",6,"100-200","Built Area","stable",4060,40.6,63.45
"bulk","water_core",6,"100-200","Built Area","stable_flicker",1724,17.24,26.94
"bulk","water_core",6,"100-200","Built Area","unsettled",477,4.77,7.45
"bulk","water_core",6,"100-200","Clouds","unsettled",2,0.02,100
"bulk","water_core",6,"100-200","Crops","break_endpoint",839,8.39,9.66
"bulk","water_core",6,"100-200","Crops","break_sustained",2920,29.2,33.61
"bulk","water_core",6,"100-200","Crops","stable",1461,14.61,16.82
"bulk","water_core",6,"100-200","Crops","stable_flicker",1964,19.64,22.61
"bulk","water_core",6,"100-200","Crops","unsettled",1503,15.03,17.3
"bulk","water_core",6,"100-200","Flooded Vegetation","break_endpoint",41,0.41,5.67
"bulk","water_core",6,"100-200","Flooded Vegetation","stable",5,0.05,0.69
"bulk","water_core",6,"100-200","Flooded Vegetation","stable_flicker",266,2.66,36.79
"bulk","water_core",6,"100-200","Flooded Vegetation","unsettled",411,4.11,56.85
"bulk","water_core",6,"100-200","Rangeland","break_endpoint",4022,40.22,8.32
"bulk","water_core",6,"100-200","Rangeland","break_sustained",1249,12.49,2.58
"bulk","water_core",6,"100-200","Rangeland","stable",28477,284.77,58.89
"bulk","water_core",6,"100-200","Rangeland","stable_flicker",10148,101.48,20.98
"bulk","water_core",6,"100-200","Rangeland","unsettled",4464,44.64,9.23
"bulk","water_core",6,"100-200","Snow/Ice","break_endpoint",20,0.2,3.17
"bulk","water_core",6,"100-200","Snow/Ice","unsettled",610,6.1,96.83
"bulk","water_core",6,"100-200","Trees","break_endpoint",4117,41.17,2.58
"bulk","water_core",6,"100-200","Trees","break_sustained",1803,18.03,1.13
"bulk","water_core",6,"100-200","Trees","stable",137758,1377.58,86.21
"bulk","water_core",6,"100-200","Trees","stable_flicker",9991,99.91,6.25
"bulk","water_core",6,"100-200","Trees","unsettled",6119,61.19,3.83
"bulk","water_core",6,"100-200","Water","break_endpoint",149,1.49,15.04
"bulk","water_core",6,"100-200","Water","break_sustained",43,0.43,4.34
"bulk","water_core",6,"100-200","Water","stable_flicker",343,3.43,34.61
"bulk","water_core",6,"100-200","Water","unsettled",456,4.56,46.01
"bulk","water_core",7,"200-500","Bare Ground","break_endpoint",2779,27.79,58.25
"bulk","water_core",7,"200-500","Bare Ground","break_sustained",29,0.29,0.61
"bulk","water_core",7,"200-500","Bare Ground","stable_flicker",1,0.01,0.02
"bulk","water_core",7,"200-500","Bare Ground","unsettled",1962,19.62,41.12
"bulk","water_core",7,"200-500","Built Area","break_endpoint",256,2.56,1.49
"bulk","water_core",7,"200-500","Built Area","break_sustained",63,0.63,0.37
"bulk","water_core",7,"200-500","Built Area","stable",13458,134.58,78.38
"bulk","water_core",7,"200-500","Built Area","stable_flicker",2109,21.09,12.28
"bulk","water_core",7,"200-500","Built Area","unsettled",1285,12.85,7.48
"bulk","water_core",7,"200-500","Clouds","unsettled",4,0.04,100
"bulk","water_core",7,"200-500","Crops","break_endpoint",2370,23.7,11.6
"bulk","water_core",7,"200-500","Crops","break_sustained",8250,82.5,40.39
"bulk","water_core",7,"200-500","Crops","stable",2199,21.99,10.77
"bulk","water_core",7,"200-500","Crops","stable_flicker",3890,38.9,19.05
"bulk","water_core",7,"200-500","Crops","unsettled",3715,37.15,18.19
"bulk","water_core",7,"200-500","Flooded Vegetation","break_endpoint",138,1.38,7.82
