"x","y","valid_ha","stable_ha","sustained_ha","endpoint_ha","unsettled_ha","stable_flicker_ha"
635322.648224166,6116890.06916606,32.77,29.09,0.45,1.05,0.77,1.41
636322.648224166,6116890.06916606,18.51,18.51,0,0,0,0
637322.648224166,6116890.06916606,0.14,0.14,0,0,0,0
641322.648224166,6116890.06916606,0.32,0.32,0,0,0,0
642322.648224166,6116890.06916606,1.67,1.67,0,0,0,0
602322.648224166,6115890.06916606,6.67,6.17,0,0.26,0.23,0.01
603322.648224166,6115890.06916606,8.38,3.48,0.68,0.09,0.54,3.59
604322.648224166,6115890.06916606,63.09,28.06,3.95,7.34,4.95,18.79
605322.648224166,6115890.06916606,5.99,3.41,0.27,0.58,0.39,1.34
623322.648224166,6115890.06916606,0.28,0.28,0,0,0,0
624322.648224166,6115890.06916606,8.37,5.57,0.53,0.52,1.7,0.05
625322.648224166,6115890.06916606,52.12,42.94,0.08,6.89,0.26,1.95
626322.648224166,6115890.06916606,18.3,15.67,0.03,1.19,0.05,1.36
634322.648224166,6115890.06916606,0.68,0.68,0,0,0,0
635322.648224166,6115890.06916606,33.18,32.13,0,0.15,0.16,0.74
636322.648224166,6115890.06916606,12.08,12.08,0,0,0,0
641322.648224166,6115890.06916606,1.58,1.58,0,0,0,0
603322.648224166,6114890.06916606,11.26,9.12,0.02,1.43,0.55,0.14
604322.648224166,6114890.06916606,1.75,0.88,0.63,0.12,0.03,0.09
614322.648224166,6114890.06916606,5.33,3.37,0,0,0,1.96
625322.648224166,6114890.06916606,6.09,5.32,0,0.77,0,0
626322.648224166,6114890.06916606,61.08,58.44,0.01,0.35,1.24,1.04
627322.648224166,6114890.06916606,3.01,3.01,0,0,0,0
635322.648224166,6114890.06916606,25.93,25.21,0,0.06,0,0.66
636322.648224166,6114890.06916606,26.83,26.39,0,0.1,0.15,0.19
640322.648224166,6114890.06916606,0.41,0.41,0,0,0,0
641322.648224166,6114890.06916606,3.41,3.41,0,0,0,0
603322.648224166,6113890.06916606,12.95,11.39,0,0.84,0.53,0.19
604322.648224166,6113890.06916606,2.93,2.93,0,0,0,0
605322.648224166,6113890.06916606,2.65,2.65,0,0,0,0
