"group","from_class","to_class","changed","category","n_cells","area_ha","pct_of_pair"
"lnth","Rangeland","Trees",TRUE,"break_endpoint",1579,15.79,17.1929442508711
"lnth","Rangeland","Trees",TRUE,"break_sustained",3094,30.94,33.6890243902439
"lnth","Rangeland","Trees",TRUE,"flicker",4511,45.11,49.118031358885
"lnth","Rangeland","Water",TRUE,"break_endpoint",977,9.77,36.5370231862378
"lnth","Rangeland","Water",TRUE,"break_sustained",751,7.51,28.0852655198205
"lnth","Rangeland","Water",TRUE,"flicker",946,9.46,35.3777112939417
"lnth","Trees","Bare Ground",TRUE,"flicker",83,0.83,100
"lnth","Trees","Built Area",TRUE,"break_endpoint",1615,16.15,25.8814102564103
"lnth","Trees","Built Area",TRUE,"break_sustained",1017,10.17,16.2980769230769
"lnth","Trees","Built Area",TRUE,"flicker",3608,36.08,57.8205128205128
"lnth","Trees","Crops",TRUE,"break_endpoint",383,3.83,12.5986842105263
"lnth","Trees","Crops",TRUE,"break_sustained",616,6.16,20.2631578947368
"lnth","Trees","Crops",TRUE,"flicker",2041,20.41,67.1381578947368
"lnth","Trees","Flooded Vegetation",TRUE,"flicker",1,0.01,100
"lnth","Trees","Rangeland",TRUE,"break_endpoint",7410,74.1,26.6393442622951
"lnth","Trees","Rangeland",TRUE,"break_sustained",3820,38.2,13.7331032499281
"lnth","Trees","Rangeland",TRUE,"flicker",16586,165.86,59.6275524877768
"lnth","Trees","Trees",FALSE,"flicker",50737,507.37,11.3818274813133
"lnth","Trees","Trees",FALSE,"stable",395035,3950.35,88.6181725186867
"lnth","Trees","Water",TRUE,"break_endpoint",2682,26.82,39.8336551314421
"lnth","Trees","Water",TRUE,"break_sustained",1538,15.38,22.8427149858904
"lnth","Trees","Water",TRUE,"flicker",2513,25.13,37.3236298826675
"lnth","Water","Bare Ground",TRUE,"break_endpoint",8124,81.24,45.5841095275502
"lnth","Water","Bare Ground",TRUE,"break_sustained",5921,59.21,33.2229828302099
"lnth","Water","Bare Ground",TRUE,"flicker",3777,37.77,21.1929076422399
"lnth","Water","Built Area",TRUE,"break_endpoint",697,6.97,48.9810260014055
"lnth","Water","Built Area",TRUE,"break_sustained",253,2.53,17.7793394237526
"lnth","Water","Built Area",TRUE,"flicker",473,4.73,33.2396345748419
"lnth","Water","Crops",TRUE,"break_endpoint",171,1.71,40.9090909090909
"lnth","Water","Crops",TRUE,"break_sustained",106,1.06,25.3588516746411
"lnth","Water","Crops",TRUE,"flicker",141,1.41,33.7320574162679
"lnth","Water","Flooded Vegetation",TRUE,"break_endpoint",4,0.04,8.69565217391304
"lnth","Water","Flooded Vegetation",TRUE,"break_sustained",17,0.17,36.9565217391304
"lnth","Water","Flooded Vegetation",TRUE,"flicker",25,0.25,54.3478260869565
"lnth","Water","Rangeland",TRUE,"break_endpoint",1372,13.72,35.1164576401331
"lnth","Water","Rangeland",TRUE,"break_sustained",274,2.74,7.0130534937292
"lnth","Water","Rangeland",TRUE,"flicker",2261,22.61,57.8704888661377
"lnth","Water","Trees",TRUE,"break_endpoint",1985,19.85,43.2556112442798
"lnth","Water","Trees",TRUE,"break_sustained",1270,12.7,27.6748747003705
"lnth","Water","Trees",TRUE,"flicker",1334,13.34,29.0695140553497
"lnth","Water","Water",FALSE,"flicker",6968,69.68,1.27596145746734
"lnth","Water","Water",FALSE,"stable",539130,5391.3,98.7240385425327
"kotl","Bare Ground","Bare Ground",FALSE,"flicker",587,5.87,12.5400555436872
"kotl","Bare Ground","Bare Ground",FALSE,"stable",4094,40.94,87.4599444563128
"kotl","Bare Ground","Built Area",TRUE,"break_endpoint",4040,40.4,59.2723004694836
"kotl","Bare Ground","Built Area",TRUE,"break_sustained",115,1.15,1.68720657276995
"kotl","Bare Ground","Built Area",TRUE,"flicker",2661,26.61,39.0404929577465
"kotl","Bare Ground","Crops",TRUE,"break_endpoint",1,0.01,5.55555555555556
"kotl","Bare Ground","Crops",TRUE,"flicker",17,0.17,94.4444444444444
"kotl","Bare Ground","Flooded Vegetation",TRUE,"flicker",55,0.55,100
"kotl","Bare Ground","Rangeland",TRUE,"break_endpoint",388,3.88,29.3272864701436
"kotl","Bare Ground","Rangeland",TRUE,"break_sustained",292,2.92,22.0710506424792
"kotl","Bare Ground","Rangeland",TRUE,"flicker",643,6.43,48.6016628873772
"kotl","Bare Ground","Snow/Ice",TRUE,"break_endpoint",1,0.01,25
"kotl","Bare Ground","Snow/Ice",TRUE,"flicker",3,0.03,75
"kotl","Bare Ground","Trees",TRUE,"break_endpoint",739,7.39,33.1538806639749
"kotl","Bare Ground","Trees",TRUE,"break_sustained",306,3.06,13.7281292059219
"kotl","Bare Ground","Trees",TRUE,"flicker",1184,11.84,53.1179901301032
"kotl","Bare Ground","Water",TRUE,"break_endpoint",1101,11.01,26.208045703404
"kotl","Bare Ground","Water",TRUE,"break_sustained",441,4.41,10.4975005950964
"kotl","Bare Ground","Water",TRUE,"flicker",2659,26.59,63.2944537014996
"kotl","Built Area","Bare Ground",TRUE,"break_endpoint",528,5.28,66.5825977301387
"kotl","Built Area","Bare Ground",TRUE,"break_sustained",6,0.06,0.756620428751576
"kotl","Built Area","Bare Ground",TRUE,"flicker",259,2.59,32.6607818411097
"kotl","Built Area","Built Area",FALSE,"flicker",10460,104.6,9.69505978311243
"kotl","Built Area","Built Area",FALSE,"stable",97430,974.3,90.3049402168876
"kotl","Built Area","Crops",TRUE,"break_endpoint",787,7.87,33.6324786324786
"kotl","Built Area","Crops",TRUE,"break_sustained",376,3.76,16.0683760683761
"kotl","Built Area","Crops",TRUE,"flicker",1177,11.77,50.2991452991453
"kotl","Built Area","Flooded Vegetation",TRUE,"flicker",3,0.03,100
"kotl","Built Area","Rangeland",TRUE,"break_endpoint",813,8.13,37.5519630484988
"kotl","Built Area","Rangeland",TRUE,"break_sustained",315,3.15,14.5496535796767
"kotl","Built Area","Rangeland",TRUE,"flicker",1037,10.37,47.8983833718245
"kotl","Built Area","Trees",TRUE,"break_endpoint",714,7.14,27.0762229806598
"kotl","Built Area","Trees",TRUE,"break_sustained",697,6.97,26.4315510049298
"kotl","Built Area","Trees",TRUE,"flicker",1226,12.26,46.4922260144103
"kotl","Built Area","Water",TRUE,"break_endpoint",996,9.96,39.8081534772182
"kotl","Built Area","Water",TRUE,"break_sustained",463,4.63,18.5051958433253
"kotl","Built Area","Water",TRUE,"flicker",1043,10.43,41.6866506794564
"kotl","Crops","Bare Ground",TRUE,"flicker",5,0.05,100
"kotl","Crops","Built Area",TRUE,"break_endpoint",1362,13.62,32.343861315602
"kotl","Crops","Built Area",TRUE,"break_sustained",1628,16.28,38.6606506767989
