"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"lnth","water_core",7,"200-500","Water","break_endpoint",1,0.01,1.96
"lnth","water_core",7,"200-500","Water","break_sustained",11,0.11,21.57
"lnth","water_core",7,"200-500","Water","stable_flicker",16,0.16,31.37
"lnth","water_core",7,"200-500","Water","unsettled",23,0.23,45.1
"lnth","water_core",8,">500","Bare Ground","break_endpoint",944,9.44,36.2
"lnth","water_core",8,">500","Bare Ground","break_sustained",80,0.8,3.07
"lnth","water_core",8,">500","Bare Ground","stable",120,1.2,4.6
"lnth","water_core",8,">500","Bare Ground","stable_flicker",25,0.25,0.96
"lnth","water_core",8,">500","Bare Ground","unsettled",1439,14.39,55.18
"lnth","water_core",8,">500","Built Area","break_endpoint",496,4.96,1.1
"lnth","water_core",8,">500","Built Area","break_sustained",343,3.43,0.76
"lnth","water_core",8,">500","Built Area","stable",38106,381.06,84.35
"lnth","water_core",8,">500","Built Area","stable_flicker",4295,42.95,9.51
"lnth","water_core",8,">500","Built Area","unsettled",1938,19.38,4.29
"lnth","water_core",8,">500","Clouds","break_endpoint",7,0.07,18.42
"lnth","water_core",8,">500","Clouds","unsettled",31,0.31,81.58
"lnth","water_core",8,">500","Crops","break_endpoint",4274,42.74,8.89
"lnth","water_core",8,">500","Crops","break_sustained",4624,46.24,9.62
"lnth","water_core",8,">500","Crops","stable",19607,196.07,40.77
"lnth","water_core",8,">500","Crops","stable_flicker",12167,121.67,25.3
"lnth","water_core",8,">500","Crops","unsettled",7414,74.14,15.42
"lnth","water_core",8,">500","Flooded Vegetation","break_endpoint",26,0.26,30.23
"lnth","water_core",8,">500","Flooded Vegetation","unsettled",60,0.6,69.77
"lnth","water_core",8,">500","Rangeland","break_endpoint",6214,62.14,3.45
"lnth","water_core",8,">500","Rangeland","break_sustained",5636,56.36,3.13
"lnth","water_core",8,">500","Rangeland","stable",128991,1289.91,71.57
"lnth","water_core",8,">500","Rangeland","stable_flicker",26493,264.93,14.7
"lnth","water_core",8,">500","Rangeland","unsettled",12904,129.04,7.16
"lnth","water_core",8,">500","Trees","break_endpoint",5198,51.98,1.9
"lnth","water_core",8,">500","Trees","break_sustained",3352,33.52,1.23
"lnth","water_core",8,">500","Trees","stable",240348,2403.48,88.01
"lnth","water_core",8,">500","Trees","stable_flicker",13189,131.89,4.83
"lnth","water_core",8,">500","Trees","unsettled",10990,109.9,4.02
"lnth","water_core",8,">500","Water","break_endpoint",75,0.75,25
"lnth","water_core",8,">500","Water","break_sustained",20,0.2,6.67
"lnth","water_core",8,">500","Water","stable_flicker",23,0.23,7.67
"lnth","water_core",8,">500","Water","unsettled",182,1.82,60.67
