"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"necr","water_core",6,"100-200","Bare Ground","unsettled",474,4.74,45.71
"necr","water_core",6,"100-200","Built Area","break_endpoint",31,0.31,1.56
"necr","water_core",6,"100-200","Built Area","break_sustained",40,0.4,2.01
"necr","water_core",6,"100-200","Built Area","stable",1691,16.91,85.1
"necr","water_core",6,"100-200","Built Area","stable_flicker",182,1.82,9.16
"necr","water_core",6,"100-200","Built Area","unsettled",43,0.43,2.16
"necr","water_core",6,"100-200","Crops","break_endpoint",587,5.87,6.52
"necr","water_core",6,"100-200","Crops","break_sustained",2400,24,26.64
"necr","water_core",6,"100-200","Crops","stable",1969,19.69,21.86
"necr","water_core",6,"100-200","Crops","stable_flicker",2740,27.4,30.41
"necr","water_core",6,"100-200","Crops","unsettled",1313,13.13,14.57
"necr","water_core",6,"100-200","Flooded Vegetation","break_endpoint",179,1.79,8.56
"necr","water_core",6,"100-200","Flooded Vegetation","break_sustained",101,1.01,4.83
"necr","water_core",6,"100-200","Flooded Vegetation","stable",1189,11.89,56.84
"necr","water_core",6,"100-200","Flooded Vegetation","stable_flicker",33,0.33,1.58
"necr","water_core",6,"100-200","Flooded Vegetation","unsettled",590,5.9,28.2
"necr","water_core",6,"100-200","Rangeland","break_endpoint",2502,25.02,5.96
"necr","water_core",6,"100-200","Rangeland","break_sustained",3996,39.96,9.53
"necr","water_core",6,"100-200","Rangeland","stable",22955,229.55,54.73
"necr","water_core",6,"100-200","Rangeland","stable_flicker",7588,75.88,18.09
"necr","water_core",6,"100-200","Rangeland","unsettled",4904,49.04,11.69
"necr","water_core",6,"100-200","Snow/Ice","break_endpoint",15,0.15,33.33
"necr","water_core",6,"100-200","Snow/Ice","unsettled",30,0.3,66.67
"necr","water_core",6,"100-200","Trees","break_endpoint",2273,22.73,2.37
"necr","water_core",6,"100-200","Trees","break_sustained",1632,16.32,1.7
"necr","water_core",6,"100-200","Trees","stable",77948,779.48,81.18
"necr","water_core",6,"100-200","Trees","stable_flicker",9545,95.45,9.94
"necr","water_core",6,"100-200","Trees","unsettled",4623,46.23,4.81
"necr","water_core",6,"100-200","Water","break_endpoint",47,0.47,2.46
"necr","water_core",6,"100-200","Water","break_sustained",236,2.36,12.33
"necr","water_core",6,"100-200","Water","stable_flicker",1276,12.76,66.67
"necr","water_core",6,"100-200","Water","unsettled",355,3.55,18.55
"necr","water_core",7,"200-500","Bare Ground","break_endpoint",949,9.49,44.95
"necr","water_core",7,"200-500","Bare Ground","break_sustained",43,0.43,2.04
"necr","water_core",7,"200-500","Bare Ground","unsettled",1119,11.19,53.01
"necr","water_core",7,"200-500","Built Area","break_endpoint",47,0.47,0.6
"necr","water_core",7,"200-500","Built Area","break_sustained",28,0.28,0.36
"necr","water_core",7,"200-500","Built Area","stable",7155,71.55,91.85
"necr","water_core",7,"200-500","Built Area","stable_flicker",465,4.65,5.97
"necr","water_core",7,"200-500","Built Area","unsettled",95,0.95,1.22
"necr","water_core",7,"200-500","Crops","break_endpoint",1710,17.1,7.81
"necr","water_core",7,"200-500","Crops","break_sustained",4730,47.3,21.61
"necr","water_core",7,"200-500","Crops","stable",4646,46.46,21.23
"necr","water_core",7,"200-500","Crops","stable_flicker",8286,82.86,37.86
"necr","water_core",7,"200-500","Crops","unsettled",2512,25.12,11.48
"necr","water_core",7,"200-500","Flooded Vegetation","break_endpoint",399,3.99,47.5
"necr","water_core",7,"200-500","Flooded Vegetation","break_sustained",23,0.23,2.74
"necr","water_core",7,"200-500","Flooded Vegetation","stable",165,1.65,19.64
"necr","water_core",7,"200-500","Flooded Vegetation","unsettled",253,2.53,30.12
"necr","water_core",7,"200-500","Rangeland","break_endpoint",4697,46.97,5.82
"necr","water_core",7,"200-500","Rangeland","break_sustained",8007,80.07,9.92
"necr","water_core",7,"200-500","Rangeland","stable",43441,434.41,53.82
"necr","water_core",7,"200-500","Rangeland","stable_flicker",15994,159.94,19.82
"necr","water_core",7,"200-500","Rangeland","unsettled",8573,85.73,10.62
"necr","water_core",7,"200-500","Snow/Ice","break_endpoint",5,0.05,17.86
"necr","water_core",7,"200-500","Snow/Ice","unsettled",23,0.23,82.14
"necr","water_core",7,"200-500","Trees","break_endpoint",4288,42.88,2.52
"necr","water_core",7,"200-500","Trees","break_sustained",4320,43.2,2.54
"necr","water_core",7,"200-500","Trees","stable",141831,1418.31,83.3
"necr","water_core",7,"200-500","Trees","stable_flicker",13155,131.55,7.73
"necr","water_core",7,"200-500","Trees","unsettled",6663,66.63,3.91
"necr","water_core",7,"200-500","Water","break_endpoint",28,0.28,4.68
"necr","water_core",7,"200-500","Water","break_sustained",7,0.07,1.17
"necr","water_core",7,"200-500","Water","stable_flicker",148,1.48,24.75
"necr","water_core",7,"200-500","Water","unsettled",415,4.15,69.4
"necr","water_core",8,">500","Bare Ground","break_endpoint",1759,17.59,39.17
"necr","water_core",8,">500","Bare Ground","break_sustained",136,1.36,3.03
"necr","water_core",8,">500","Bare Ground","unsettled",2596,25.96,57.8
"necr","water_core",8,">500","Built Area","break_endpoint",349,3.49,2.03
"necr","water_core",8,">500","Built Area","break_sustained",285,2.85,1.65
"necr","water_core",8,">500","Built Area","stable",14953,149.53,86.76
"necr","water_core",8,">500","Built Area","stable_flicker",1130,11.3,6.56
"necr","water_core",8,">500","Built Area","unsettled",517,5.17,3
"necr","water_core",8,">500","Crops","break_endpoint",24040,240.4,6.14
"necr","water_core",8,">500","Crops","break_sustained",29511,295.11,7.54
"necr","water_core",8,">500","Crops","stable",228676,2286.76,58.4
"necr","water_core",8,">500","Crops","stable_flicker",74557,745.57,19.04
"necr","water_core",8,">500","Crops","unsettled",34760,347.6,8.88
"necr","water_core",8,">500","Flooded Vegetation","break_endpoint",325,3.25,12.67
"necr","water_core",8,">500","Flooded Vegetation","break_sustained",44,0.44,1.72
"necr","water_core",8,">500","Flooded Vegetation","stable",1399,13.99,54.54
"necr","water_core",8,">500","Flooded Vegetation","stable_flicker",402,4.02,15.67
"necr","water_core",8,">500","Flooded Vegetation","unsettled",395,3.95,15.4
"necr","water_core",8,">500","Rangeland","break_endpoint",40498,404.98,7.21
"necr","water_core",8,">500","Rangeland","break_sustained",42832,428.32,7.62
"necr","water_core",8,">500","Rangeland","stable",326813,3268.13,58.18
"necr","water_core",8,">500","Rangeland","stable_flicker",96709,967.09,17.22
"necr","water_core",8,">500","Rangeland","unsettled",54917,549.17,9.78
"necr","water_core",8,">500","Snow/Ice","break_endpoint",230,2.3,40.64
"necr","water_core",8,">500","Snow/Ice","unsettled",336,3.36,59.36
"necr","water_core",8,">500","Trees","break_endpoint",60061,600.61,4.24
"necr","water_core",8,">500","Trees","break_sustained",65392,653.92,4.61
"necr","water_core",8,">500","Trees","stable",1134849,11348.49,80.07
"necr","water_core",8,">500","Trees","stable_flicker",94724,947.24,6.68
"necr","water_core",8,">500","Trees","unsettled",62251,622.51,4.39
"necr","water_core",8,">500","Water","break_endpoint",227,2.27,15.18
"necr","water_core",8,">500","Water","break_sustained",575,5.75,38.46
"necr","water_core",8,">500","Water","stable_flicker",213,2.13,14.25
"necr","water_core",8,">500","Water","unsettled",480,4.8,32.11
